,완전,완전히,아주
건강휴먼이시네요,1,0,0
건들지도못해요,1,0,0
건성이라,1,0,0
건전하게,0,0,1
건전한,0,0,1
건조한,1,0,0
건조해,1,0,0
걷지는,0,1,0
걸쭉한,1,0,0
검색이,1,0,0
검은물이,0,0,1
검했던거,1,0,0
겁많은,1,0,0
겁이,0,0,2
겁쟁이에요,0,0,1
겁쟁이잖아요ㅠㅠㅠㅠ,1,0,0
겉바속촉이라,1,0,0
겉바속촉이래요,1,0,0
게임,1,0,0
게임인척,1,0,0
겐츈해보야용,1,0,0
겜충인데,1,0,0
겨울,1,0,0
겨울이다,1,0,0
겨울이단,1,0,0
겨울이당,1,0,0
격하게,0,0,1
결심하고,0,0,1
결혼도,0,0,1
겹치네요,1,0,0
경기도,1,0,0
경단녀거든요,1,0,0
경력자신데,1,0,0
경악,1,0,0
경쟁률이,0,0,1
경쾌한,1,0,0
계타셨네요,1,0,0
계획적인넘,0,0,1
고,1,0,0
고1때배우는,1,0,0
고가라인으로,1,0,0
고가의,0,0,1
고강도,1,0,0
고고,1,0,0
고구마,1,0,0
고구마긴,1,0,0
고궐이죠,1,0,0
고급,1,0,0
고급김치전이네요,1,0,0
고급스럽게,1,0,0
고급스럽네요,1,0,0
고급이신가,0,0,1
고급정본대요,1,0,0
고급지네요,1,0,0
고급진,0,0,1
고급짐,1,0,0
고기,2,0,0
고난의,0,0,1
고단백식단이라,0,0,1
고단수네요,0,0,1
고된,0,0,1
고르게,0,0,1
고마워,1,0,0
고마워요,1,0,1
고마워욬ㅋㅋㅋ,1,0,0
고마웠고,1,0,0
고마웡,1,0,0
고마웡ㅠㅠㅠㅠㅠ,1,0,0
고맙고,0,0,1
고맙네,1,0,0
고맙더라고요ㅎㅎ,1,0,0
고맙징,1,0,0
고무줄,1,0,0
고문이었을거같아요,1,0,0
고민,2,0,0
고민스럽다,0,0,1
고민이,0,0,1
고민중이에요,1,0,0
고민중이여,1,0,0
고민해서,1,0,0
고생많아찌,1,0,0
고생이다,1,0,0
고생하네,1,0,0
고생하셨겠어요,1,0,0
고생하시네요ㅜㅜ,1,0,0
고생하지ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,0,0
고생해쒀,1,0,0
고생했겠지,1,0,0
고생했담,1,0,0
고소고소,1,0,0
고소득자,1,0,0
고소하겠네요,1,0,0
고소한,0,0,1
고소함,1,0,0
고소해,0,0,1
고소해버려,0,0,1
고소해요,1,0,0
고수네,1,0,0
고수느낌,1,0,0
고수더라고요ㅋㅋ,1,0,0
고수시잖아요,1,0,0
고수예요,1,0,0
고수인데,0,0,1
고슬고슬,1,0,0
고약하거든요,0,0,1
고약한,0,0,1
고양이,1,0,0
고양이그자체입니다,1,0,0
고양이요,1,0,0
고역입니다,0,0,1
고오급이신가봐요,0,0,1
고오오급지더라,1,0,0
고오오오옹오오급,1,0,0
고이고이,1,0,0
고인물,1,0,0
고인물이라,2,0,0
고인물이시네요,1,0,0
고인물이잖아요,1,0,0
고장에서,1,0,0
고전게임,2,0,0
고전게임들이네요ㅎㅎ,1,0,0
고전중이라네,0,0,1
고지식하고,1,0,0
고지식하면,1,0,0
고집이,1,0,0
고칼로리,3,0,0
고통스럽게,1,0,0
고통스럽네요,0,0,1
고통스럽지만,0,0,1
고통이구요,1,0,0
고통이에요,1,0,0
고학력,1,0,0
고행길이야,1,0,0
고행길이었고,1,0,0
곡예운전으로,1,0,0
골격이,1,0,0
골동품처럼,1,0,0
골목인데도,1,0,0
골치다,0,0,1
곪아서,1,0,0
곯아떨어짐,1,0,1
곰곰히,0,0,1
곰돌이됐음,1,0,0
곰팡이,1,0,0
곳곳에,1,0,0
공감,17,0,0
공감ㅋㅋ,1,0,0
공감ㅋㅋㅋ,1,0,0
공감ㅋㅋㅋㅋㅋㅋ,1,0,0
공감가는,1,0,0
공감가요,1,0,0
공감돼요,1,0,0
공감되네요,1,0,0
공감되는,2,0,0
공감백퍼ㅋㅋㅋㅋㅋㅋ,1,0,0
공감이,1,0,0
공감이에요,5,0,0
공감이에요ㅋㅋ,1,0,0
공감이에욬ㅋㅋ,1,0,0
공감이예요,1,0,0
공감이요,6,0,0
공감입니다,0,0,1
공감하며,1,0,0
공감합니다,3,0,0
공감합니다ㅜㅜ,1,0,0
공감해도,1,0,0
공감해요,6,0,0
공감해요ㅋㅋㅋ,1,0,0
공격적이네여,0,0,1
공부,1,0,1
공부는,1,0,0
공식임,1,0,0
공연,1,0,0
공원,1,0,0
공주님,1,0,0
공주님같은,1,0,0
공주님침대,1,0,0
공주임,1,0,0
공포게임이에요,1,0,0
과대포장ㅋㅋㅋ,1,0,0
과몰입,2,0,0
과몰입쟁이에요,1,0,0
과몰입쟁이인데,1,0,0
과몰입해서,1,0,0
과몰입했잖아요,1,0,0
과소비했어요,1,0,0
과일2개,1,0,0
과자마트ㅋㅋㅋ,1,0,0
과장님꺼,1,0,0
과하게,1,0,0
과학임,1,0,0
과학자,1,0,0
관광지는,1,0,0
관광지를,1,0,0
관심,2,0,0
관심없는데,1,0,0
관심이,0,0,1
관장이,0,0,1
괄괄합니다,0,0,1
광고천국이에요,0,0,1
광기,1,0,0
광란의,1,0,0
광범위하게,0,1,0
광팬,2,0,0
광팬이야,1,0,0
광팬이야ㅇㅇ,1,0,0
광활한,1,0,0
광활한고,1,0,0
괘씸함요,1,0,0
괘씸해,0,0,1
괜찬더라구요,0,0,1
괜찮긴해,1,0,0
괜찮네요,1,0,0
괜찮다,1,0,0
괜찮다고,0,0,1
괜찮습니다,1,0,0
괜찮아,2,0,0
괜찮아서ㅎㅎㅎ,0,0,1
괜찮아요,2,0,0
괜찮아요ㅋㅋㅋ,1,0,0
괜찮아진대,1,0,0
괜찮았어요,0,0,1
괜찮은,4,0,2
괜찮은데,3,0,0
괜찮은데요,1,0,0
괜찮은데요ㅋㅋ,1,0,0
괜찮죠,1,0,1
괜찮지,1,0,0
괜춘,1,0,0
괜춘한편이에요,0,0,1
괜춘해요,1,0,0
괜츈할거같아요,0,0,1
괜탆아,0,0,1
괴롭히고,0,0,1
괴식을,0,1,0
괴식이었어요,1,0,0
교보서,0,0,1
교수님,1,0,0
구냥,0,0,1
구독짱이시네요,1,0,0
구려,0,0,2
구려짐ㅠㅋㅋㅋㅋ,1,0,0
구름잔뜩이에요,1,0,0
구리구리하고,1,0,0
구린폰,1,0,0
구석에,1,0,0
구석탱이라,1,0,0
구세주,1,0,0
구수하냐,1,0,0
구수한,1,0,0
구축,1,0,0
구하기힘듭니다ㅋ,0,0,1
국물파티인가,1,0,0
국민,1,0,0
국밥충ㅋㅋㅋ소리듣거든요,1,0,0
국수,1,0,0
국어짱이셨나보다,1,0,0
국지성으로,1,0,0
국토대장정이네,1,0,0
군침,1,0,0
군침도는,0,0,1
군카,1,0,0
굳,1,0,0
굳굳이에요,0,0,1
굳입니다,0,0,1
굴렸는뎈ㅋㅋㅋㅋ,1,0,0
굶기는,1,0,0
굶었거든요,1,0,0
굽네치킨이더라니까요,1,0,0
굽은어깨랑,1,0,0
굿,1,0,5
굿고영굿고영,0,0,1
굿굿,0,0,1
굿쇼핑이네요,1,0,0
굿이네,0,0,1
굿이네요,0,0,1
굿이다,1,0,0
굿이랍니다,0,0,1
굿이얌,0,0,1
굿이었어,0,0,1
굿이에요,0,0,6
굿이여,0,0,2
굿이예요ㅋㅋㅋㅋㅋㅋ,0,0,1
굿이지,0,0,1
굿인데요,1,0,0
굿입니다,1,0,3
궁금,4,0,1
궁금증,1,0,0
궁금하게,0,0,1
궁금하긴,1,0,0
궁금하네요,2,0,0
궁금하다,4,0,0
궁금하당,1,0,0
궁금한,1,0,0
궁금한데,1,0,0
궁금한데요,1,0,0
궁금함,2,0,0
궁금해,1,0,0
궁금해여,1,0,0
궁금해요,2,0,0
궁금해졌어여,1,0,0
궁금했어,1,0,0
궁합이,1,0,0
귀,1,0,0
귀신,1,0,0
귀신같이,0,0,1
귀신이구나,1,0,0
귀야버,0,0,1
귀업다,1,0,0
귀여우시던데,1,0,0
귀여우어요,0,0,1
귀여운,5,0,3
귀여운데,1,0,0
귀여울,2,0,1
귀여움,2,0,0
귀여워,9,0,3
귀여워ㅠ,1,0,0
귀여워ㅠㅠ,2,0,0
귀여워서ㅎ,0,0,1
귀여워여,1,0,0
귀여워요,9,0,2
귀여워요ㅜㅜ,1,0,0
귀여워요오,1,0,0
귀여워용,1,0,0
귀여워유ㅠㅠㅠㅜㅜ,0,0,1
귀여웠겠다,1,0,0
귀여웠겠어요,1,0,0
귀여웠는데,1,0,0
귀여웠당,1,0,0
귀여웠어요,1,0,2
귀여웠어요ㅋㅋ,1,0,0
귀여웠우,1,0,0
귀여웠지,1,0,0
귀여웡,5,0,0
귀여유,1,0,0
귀여윤,1,0,0
귀연,0,0,1
귀염,1,0,1
귀염둥이,1,0,0
귀염둥이였었죠,1,0,0
귀염뽀짝,0,0,1
귀염뽀짝해요,1,0,0
귀염상,1,0,0
귀엽게,1,0,0
귀엽게생긴애,1,0,0
귀엽겠네요,2,0,0
귀엽겠다,1,0,0
귀엽겠어요,2,0,0
귀엽겠지,1,0,0
귀엽구,2,0,0
귀엽긴한데,0,0,1
귀엽네요,1,0,0
귀엽네요ㅎㅎㅎ,1,0,0
귀엽넹,2,0,0
귀엽다,1,0,0
귀엽다는거잖어,1,0,0
귀엽답니다,0,0,1
귀엽당,1,0,0
귀엽더라고요,1,0,0
귀엽더라구오,0,0,1
귀엽더라구요,1,0,0
귀엽습니다,0,0,1
귀엽자낰ㅋㅋㅋ,1,0,0
귀엽잖아요ㅠㅠ,1,0,0
귀엽죠,2,0,0
귀엽죠ㅠㅠ,1,0,0
귀엽지,2,0,2
귀엽지ㅠㅠ,1,0,0
귀요미,3,0,0
귀요미야,1,0,0
귀욤,1,0,0
귀욤ㅋㅋㅋㅋㅋ,1,0,0
귀욤ㅠ,1,0,0
귀욤뽀짝하다고,1,0,0
귀욤신입,1,0,0
귀욥,1,0,0
귀차낳아,0,0,1
귀찮,1,0,0
귀찮스빈다,0,0,1
귀찮아,1,0,0
귀찮아서ㅠㅠ,1,0,0
귀찮아요,1,0,0
귀찮았지,0,0,1
